CUPS;PERIODO;POTENCIA CONTRATADA (kW)
ES0339000001001480GM;1;3,45
ES0339000001001490GS;1;1,15
ES0339000001001491GQ;1;5,75
ES0339000001001530YD;1;4,4
ES0339000001001560FQ;1;5,75
ES0339000001001571PG;1;3,45
ES0339000001001590DT;1;4,4
ES0339000001001600DX;1;4,4
ES0339000001001630XV;1;4,4
ES0339000001001632XL;1;3,3
ES0339000001001640BG;1;4,6
ES0339000001001660NR;1;5,5
ES0339000001001680NK;1;4,6
ES0339000001001700JH;1;3,3
ES0339000001001702JC;1;3,45
ES0339000001001710ZM;1;3,3
ES0339000001001730SW;1;5,75
ES0339000001001731SA;1;3,3
ES0339000001001770QL;1;4,6
ES0339000001001772QK;1;4,6
ES0339000001001789VS;1;3,3
ES0339000001001791VV;1;5,5
ES0339000001001801HG;1;4,6
ES0339000001001802HM;1;6,9
ES0339000001001805HP;1;4,4
ES0339000001001840LC;1;4,6
ES0339000001001850CF;1;4,6
ES0339000001001860CV;1;1,15
ES0339000001001870KG;1;3,45
ES0339000001001880KZ;1;3,3
ES0339000001001882KQ;1;3,3
ES0339000001001883KV;1;4,4
ES0339000001001884KH;1;4,6
ES0339000001001885KL;1;3,45
ES0339000001001892EA;1;3,45
ES0339000001001900EB;1;3,3
ES0339000001001901EN;1;3,3
ES0339000001001930TH;1;4,6
ES0339000001001932TC;1;4,4
ES0339000001001950RS;1;1,72
ES0339000001001952RV;1;3,45
ES0339000001001980WE;1;4,6
ES0339000001002000AL;1;26,3
ES0339000001002000AL;2;26,3
ES0339000001002000AL;3;26,3
ES0339000001002001AC;1;4,4
ES0339000001002002AK;1;3,45
ES0339000001002003AE;1;4,6
ES0339000001002004GT;1;4,6
ES0339000001002005GR;1;4,6
ES0339000001002006GW;1;4,6
ES0339000001002007GA;1;4,6
ES0339000001002008GG;1;4,4
ES0339000001002020GQ;1;4,4
ES0339000001002030MA;1;5,5
ES0339000001002031MG;1;6,9
ES0339000001002040MJ;1;3,45
ES0339000001002050YT;1;3,3
ES0339000001002060YX;1;3,3
ES0339000001002070YC;1;6,57
ES0339000001002100PG;1;4,93
ES0339000001002101PM;1;2,2
ES0339000001002120DR;1;5,5
ES0339000001002121DW;1;8,05
ES0339000001002122DA;1;2,3
ES0339000001002124DM;1;3,3
ES0339000001002131DN;1;4,4
ES0339000001002150XP;1;5,75
ES0339000001002151XD;1;4,6
ES0339000001002153XB;1;4,4
ES0339000001002170BM;1;4,4
ES0339000001002210NE;1;4,6
ES0339000001002232JK;1;3,3
ES0339000001002234ZT;1;6,57
ES0339000001002260SA;1;3,3
ES0339000001002270SJ;1;4,4
ES0339000001002280QT;1;4,4
ES0339000001002301QK;1;4,6
ES0339000001002320VV;1;4,6
ES0339000001002321VH;1;4,6
ES0339000001002330HG;1;2,3
ES0339000001002371LE;1;1,1
ES0339000001002372CT;1;13,85
ES0339000001002380CP;1;3,45
ES0339000001002385CJ;1;6,9
ES0339000001002390CH;1;1,97
ES0339000001002450TD;1;4,4
ES0339000001002460TL;1;1,15
ES0339000001002462TK;1;1,97
ES0339000001002464RT;1;9,86
ES0339000001002535GW;1;19,72
ES0339000001002535GW;2;19,72
ES0339000001002535GW;3;19,72
ES0339000001002540GF;1;5,75
ES0339000001002544GB;1;6,92
ES0339000001002545GN;1;10,39
ES0339000001002550GV;1;15,01
ES0339000001002550GV;2;15,01
ES0339000001002550GV;3;15,01
ES0339000001002551GH;1;4,4
ES0339000001002552GL;1;5,19
ES0339000001002553GC;1;4,4
ES0339000001002554GK;1;3,3
ES0339000001002555GE;1;6,92
ES0339000001002557MR;1;2,07
ES0339000001002557MR;2;2,07
ES0339000001002558MW;1;3,3
ES0339000001002559MA;1;6,92
ES0339000001002559MA;2;6,92
ES0339000001002560MG;1;16,5
ES0339000001002560MG;2;16,5
ES0339000001002560MG;3;16,5
ES0339000001002561MM;1;20
ES0339000001002561MM;2;20
ES0339000001002561MM;3;20
ES0339000001002562MY;1;4,4
ES0339000001002563MF;1;4,6
